"filename", "language", "Markdown", "YAML", "JSON", "HTML", "Dart", "Ruby", "Properties", "C++", "Swift", "CMake", "XML", "comment", "blank", "total"
"/Users/tomasmucha/FridgeMate-Flutter/lib/screens/home_screen.dart", "Dart", 0, 0, 0, 0, 364, 0, 0, 0, 0, 0, 0, 6, 46, 416
"/Users/tomasmucha/FridgeMate-Flutter/lib/screens/inventory_screen.dart", "Dart", 0, 0, 0, 0, 698, 0, 0, 0, 0, 0, 0, 2, 74, 774
"/Users/tomasmucha/FridgeMate-Flutter/lib/screens/product_detail_screen.dart", "Dart", 0, 0, 0, 0, 217, 0, 0, 0, 0, 0, 0, 5, 29, 251
"/Users/tomasmucha/FridgeMate-Flutter/lib/screens/product_edit_screen.dart", "Dart", 0, 0, 0, 0, 415, 0, 0, 0, 0, 0, 0, 3, 36, 454
"/Users/tomasmucha/FridgeMate-Flutter/lib/screens/qr_scanner_screen.dart", "Dart", 0, 0, 0, 0, 387, 0, 0, 0, 0, 0, 0, 0, 41, 428
"/Users/tomasmucha/FridgeMate-Flutter/lib/screens/settings_screen.dart", "Dart", 0, 0, 0, 0, 261, 0, 0, 0, 0, 0, 0, 0, 22, 283
"/Users/tomasmucha/FridgeMate-Flutter/lib/services/api_service.dart", "Dart", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 6, 10, 88
"/Users/tomasmucha/FridgeMate-Flutter/lib/services/database_service.dart", "Dart", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 1, 10, 68
"/Users/tomasmucha/FridgeMate-Flutter/lib/services/settings_service.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 10, 40
"/Users/tomasmucha/FridgeMate-Flutter/lib/themes/app_theme.dart", "Dart", 0, 0, 0, 0, 269, 0, 0, 0, 0, 0, 0, 0, 45, 314
"/Users/tomasmucha/FridgeMate-Flutter/lib/widgets/action_sheet.dart", "Dart", 0, 0, 0, 0, 477, 0, 0, 0, 0, 0, 0, 13, 55, 545
"/Users/tomasmucha/FridgeMate-Flutter/lib/widgets/filter_bottom_sheet.dart", "Dart", 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 8, 26, 244
"/Users/tomasmucha/FridgeMate-Flutter/lib/widgets/product_detail_bottom_sheet.dart", "Dart", 0, 0, 0, 0, 333, 0, 0, 0, 0, 0, 0, 7, 27, 367
"/Users/tomasmucha/FridgeMate-Flutter/lib/widgets/product_list.dart", "Dart", 0, 0, 0, 0, 192, 0, 0, 0, 0, 0, 0, 4, 25, 221
"/Users/tomasmucha/FridgeMate-Flutter/linux/CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 25, 129
"/Users/tomasmucha/FridgeMate-Flutter/linux/flutter/CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 10, 89
"/Users/tomasmucha/FridgeMate-Flutter/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 4, 5, 16
"/Users/tomasmucha/FridgeMate-Flutter/linux/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 6, 16
"/Users/tomasmucha/FridgeMate-Flutter/linux/flutter/generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"/Users/tomasmucha/FridgeMate-Flutter/linux/runner/CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 6, 27
"/Users/tomasmucha/FridgeMate-Flutter/linux/runner/main.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/Users/tomasmucha/FridgeMate-Flutter/linux/runner/my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 25, 29, 145
"/Users/tomasmucha/FridgeMate-Flutter/linux/runner/my_application.h", "C++", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 5, 19
"/Users/tomasmucha/FridgeMate-Flutter/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 4, 23
"/Users/tomasmucha/FridgeMate-Flutter/macos/Podfile", "Ruby", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 10, 43
"/Users/tomasmucha/FridgeMate-Flutter/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"/Users/tomasmucha/FridgeMate-Flutter/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"/Users/tomasmucha/FridgeMate-Flutter/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 1, 344
"/Users/tomasmucha/FridgeMate-Flutter/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"/Users/tomasmucha/FridgeMate-Flutter/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"/Users/tomasmucha/FridgeMate-Flutter/pubspec.yaml", "YAML", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 13, 104
"/Users/tomasmucha/FridgeMate-Flutter/web/index.html", "HTML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"/Users/tomasmucha/FridgeMate-Flutter/web/manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/tomasmucha/FridgeMate-Flutter/windows/CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 20, 109
